beta,psi,gamma,epsilon
0.0005,0.0001,0.333333333,0.033333333
0.0005,0.05,0.333333333,0.033333333
0.0005,0.1,0.333333333,0.033333333
0.0005,0.15,0.333333333,0.033333333
0.0005,0.2,0.333333333,0.033333333
0.0005,0.25,0.333333333,0.033333333
0.0005,0.3,0.333333333,0.033333333
0.0005,0.35,0.333333333,0.033333333
0.0005,0.4,0.333333333,0.033333333
0.0005,0.45,0.333333333,0.033333333
0.0005,0.5,0.333333333,0.033333333
0.0005,0.55,0.333333333,0.033333333
0.0005,0.6,0.333333333,0.033333333
0.0005,0.65,0.333333333,0.033333333
0.0005,0.7,0.333333333,0.033333333
0.0005,0.75,0.333333333,0.033333333
0.0005,0.8,0.333333333,0.033333333
0.0005,0.85,0.333333333,0.033333333
0.0005,0.9,0.333333333,0.033333333
0.0005,0.95,0.333333333,0.033333333
0.0005,0.9999,0.333333333,0.033333333
0.0025,0.0001,0.333333333,0.033333333
0.0025,0.05,0.333333333,0.033333333
0.0025,0.1,0.333333333,0.033333333
0.0025,0.15,0.333333333,0.033333333
0.0025,0.2,0.333333333,0.033333333
0.0025,0.25,0.333333333,0.033333333
0.0025,0.3,0.333333333,0.033333333
0.0025,0.35,0.333333333,0.033333333
0.0025,0.4,0.333333333,0.033333333
0.0025,0.45,0.333333333,0.033333333
0.0025,0.5,0.333333333,0.033333333
0.0025,0.55,0.333333333,0.033333333
0.0025,0.6,0.333333333,0.033333333
0.0025,0.65,0.333333333,0.033333333
0.0025,0.7,0.333333333,0.033333333
0.0025,0.75,0.333333333,0.033333333
0.0025,0.8,0.333333333,0.033333333
0.0025,0.85,0.333333333,0.033333333
0.0025,0.9,0.333333333,0.033333333
0.0025,0.95,0.333333333,0.033333333
0.0025,0.9999,0.333333333,0.033333333
0.005,0.0001,0.333333333,0.033333333
0.005,0.05,0.333333333,0.033333333
0.005,0.1,0.333333333,0.033333333
0.005,0.15,0.333333333,0.033333333
0.005,0.2,0.333333333,0.033333333
0.005,0.25,0.333333333,0.033333333
0.005,0.3,0.333333333,0.033333333
0.005,0.35,0.333333333,0.033333333
0.005,0.4,0.333333333,0.033333333
0.005,0.45,0.333333333,0.033333333
0.005,0.5,0.333333333,0.033333333
0.005,0.55,0.333333333,0.033333333
0.005,0.6,0.333333333,0.033333333
0.005,0.65,0.333333333,0.033333333
0.005,0.7,0.333333333,0.033333333
0.005,0.75,0.333333333,0.033333333
0.005,0.8,0.333333333,0.033333333
0.005,0.85,0.333333333,0.033333333
0.005,0.9,0.333333333,0.033333333
0.005,0.95,0.333333333,0.033333333
0.005,0.9999,0.333333333,0.033333333
0.0075,0.0001,0.333333333,0.033333333
0.0075,0.05,0.333333333,0.033333333
0.0075,0.1,0.333333333,0.033333333
0.0075,0.15,0.333333333,0.033333333
0.0075,0.2,0.333333333,0.033333333
0.0075,0.25,0.333333333,0.033333333
0.0075,0.3,0.333333333,0.033333333
0.0075,0.35,0.333333333,0.033333333
0.0075,0.4,0.333333333,0.033333333
0.0075,0.45,0.333333333,0.033333333
0.0075,0.5,0.333333333,0.033333333
0.0075,0.55,0.333333333,0.033333333
0.0075,0.6,0.333333333,0.033333333
0.0075,0.65,0.333333333,0.033333333
0.0075,0.7,0.333333333,0.033333333
0.0075,0.75,0.333333333,0.033333333
0.0075,0.8,0.333333333,0.033333333
0.0075,0.85,0.333333333,0.033333333
0.0075,0.9,0.333333333,0.033333333
0.0075,0.95,0.333333333,0.033333333
0.0075,0.9999,0.333333333,0.033333333
0.0005,0.0001,0.2,0.033333333
0.0005,0.05,0.2,0.033333333
0.0005,0.1,0.2,0.033333333
0.0005,0.15,0.2,0.033333333
0.0005,0.2,0.2,0.033333333
0.0005,0.25,0.2,0.033333333
0.0005,0.3,0.2,0.033333333
0.0005,0.35,0.2,0.033333333
0.0005,0.4,0.2,0.033333333
0.0005,0.45,0.2,0.033333333
0.0005,0.5,0.2,0.033333333
0.0005,0.55,0.2,0.033333333
0.0005,0.6,0.2,0.033333333
0.0005,0.65,0.2,0.033333333
0.0005,0.7,0.2,0.033333333
0.0005,0.75,0.2,0.033333333
0.0005,0.8,0.2,0.033333333
0.0005,0.85,0.2,0.033333333
0.0005,0.9,0.2,0.033333333
0.0005,0.95,0.2,0.033333333
0.0005,0.9999,0.2,0.033333333
0.0025,0.0001,0.2,0.033333333
0.0025,0.05,0.2,0.033333333
0.0025,0.1,0.2,0.033333333
0.0025,0.15,0.2,0.033333333
0.0025,0.2,0.2,0.033333333
0.0025,0.25,0.2,0.033333333
0.0025,0.3,0.2,0.033333333
0.0025,0.35,0.2,0.033333333
0.0025,0.4,0.2,0.033333333
0.0025,0.45,0.2,0.033333333
0.0025,0.5,0.2,0.033333333
0.0025,0.55,0.2,0.033333333
0.0025,0.6,0.2,0.033333333
0.0025,0.65,0.2,0.033333333
0.0025,0.7,0.2,0.033333333
0.0025,0.75,0.2,0.033333333
0.0025,0.8,0.2,0.033333333
0.0025,0.85,0.2,0.033333333
0.0025,0.9,0.2,0.033333333
0.0025,0.95,0.2,0.033333333
0.0025,0.9999,0.2,0.033333333
0.005,0.0001,0.2,0.033333333
0.005,0.05,0.2,0.033333333
0.005,0.1,0.2,0.033333333
0.005,0.15,0.2,0.033333333
0.005,0.2,0.2,0.033333333
0.005,0.25,0.2,0.033333333
0.005,0.3,0.2,0.033333333
0.005,0.35,0.2,0.033333333
0.005,0.4,0.2,0.033333333
0.005,0.45,0.2,0.033333333
0.005,0.5,0.2,0.033333333
0.005,0.55,0.2,0.033333333
0.005,0.6,0.2,0.033333333
0.005,0.65,0.2,0.033333333
0.005,0.7,0.2,0.033333333
0.005,0.75,0.2,0.033333333
0.005,0.8,0.2,0.033333333
0.005,0.85,0.2,0.033333333
0.005,0.9,0.2,0.033333333
0.005,0.95,0.2,0.033333333
0.005,0.9999,0.2,0.033333333
0.0075,0.0001,0.2,0.033333333
0.0075,0.05,0.2,0.033333333
0.0075,0.1,0.2,0.033333333
0.0075,0.15,0.2,0.033333333
0.0075,0.2,0.2,0.033333333
0.0075,0.25,0.2,0.033333333
0.0075,0.3,0.2,0.033333333
0.0075,0.35,0.2,0.033333333
0.0075,0.4,0.2,0.033333333
0.0075,0.45,0.2,0.033333333
0.0075,0.5,0.2,0.033333333
0.0075,0.55,0.2,0.033333333
0.0075,0.6,0.2,0.033333333
0.0075,0.65,0.2,0.033333333
0.0075,0.7,0.2,0.033333333
0.0075,0.75,0.2,0.033333333
0.0075,0.8,0.2,0.033333333
0.0075,0.85,0.2,0.033333333
0.0075,0.9,0.2,0.033333333
0.0075,0.95,0.2,0.033333333
0.0075,0.9999,0.2,0.033333333
0.0005,0.0001,0.142857143,0.033333333
0.0005,0.05,0.142857143,0.033333333
0.0005,0.1,0.142857143,0.033333333
0.0005,0.15,0.142857143,0.033333333
0.0005,0.2,0.142857143,0.033333333
0.0005,0.25,0.142857143,0.033333333
0.0005,0.3,0.142857143,0.033333333
0.0005,0.35,0.142857143,0.033333333
0.0005,0.4,0.142857143,0.033333333
0.0005,0.45,0.142857143,0.033333333
0.0005,0.5,0.142857143,0.033333333
0.0005,0.55,0.142857143,0.033333333
0.0005,0.6,0.142857143,0.033333333
0.0005,0.65,0.142857143,0.033333333
0.0005,0.7,0.142857143,0.033333333
0.0005,0.75,0.142857143,0.033333333
0.0005,0.8,0.142857143,0.033333333
0.0005,0.85,0.142857143,0.033333333
0.0005,0.9,0.142857143,0.033333333
0.0005,0.95,0.142857143,0.033333333
0.0005,0.9999,0.142857143,0.033333333
0.0025,0.0001,0.142857143,0.033333333
0.0025,0.05,0.142857143,0.033333333
0.0025,0.1,0.142857143,0.033333333
0.0025,0.15,0.142857143,0.033333333
0.0025,0.2,0.142857143,0.033333333
0.0025,0.25,0.142857143,0.033333333
0.0025,0.3,0.142857143,0.033333333
0.0025,0.35,0.142857143,0.033333333
0.0025,0.4,0.142857143,0.033333333
0.0025,0.45,0.142857143,0.033333333
0.0025,0.5,0.142857143,0.033333333
0.0025,0.55,0.142857143,0.033333333
0.0025,0.6,0.142857143,0.033333333
0.0025,0.65,0.142857143,0.033333333
0.0025,0.7,0.142857143,0.033333333
0.0025,0.75,0.142857143,0.033333333
0.0025,0.8,0.142857143,0.033333333
0.0025,0.85,0.142857143,0.033333333
0.0025,0.9,0.142857143,0.033333333
0.0025,0.95,0.142857143,0.033333333
0.0025,0.9999,0.142857143,0.033333333
0.005,0.0001,0.142857143,0.033333333
0.005,0.05,0.142857143,0.033333333
0.005,0.1,0.142857143,0.033333333
0.005,0.15,0.142857143,0.033333333
0.005,0.2,0.142857143,0.033333333
0.005,0.25,0.142857143,0.033333333
0.005,0.3,0.142857143,0.033333333
0.005,0.35,0.142857143,0.033333333
0.005,0.4,0.142857143,0.033333333
0.005,0.45,0.142857143,0.033333333
0.005,0.5,0.142857143,0.033333333
0.005,0.55,0.142857143,0.033333333
0.005,0.6,0.142857143,0.033333333
0.005,0.65,0.142857143,0.033333333
0.005,0.7,0.142857143,0.033333333
0.005,0.75,0.142857143,0.033333333
0.005,0.8,0.142857143,0.033333333
0.005,0.85,0.142857143,0.033333333
0.005,0.9,0.142857143,0.033333333
0.005,0.95,0.142857143,0.033333333
0.005,0.9999,0.142857143,0.033333333
0.0075,0.0001,0.142857143,0.033333333
0.0075,0.05,0.142857143,0.033333333
0.0075,0.1,0.142857143,0.033333333
0.0075,0.15,0.142857143,0.033333333
0.0075,0.2,0.142857143,0.033333333
0.0075,0.25,0.142857143,0.033333333
0.0075,0.3,0.142857143,0.033333333
0.0075,0.35,0.142857143,0.033333333
0.0075,0.4,0.142857143,0.033333333
0.0075,0.45,0.142857143,0.033333333
0.0075,0.5,0.142857143,0.033333333
0.0075,0.55,0.142857143,0.033333333
0.0075,0.6,0.142857143,0.033333333
0.0075,0.65,0.142857143,0.033333333
0.0075,0.7,0.142857143,0.033333333
0.0075,0.75,0.142857143,0.033333333
0.0075,0.8,0.142857143,0.033333333
0.0075,0.85,0.142857143,0.033333333
0.0075,0.9,0.142857143,0.033333333
0.0075,0.95,0.142857143,0.033333333
0.0075,0.9999,0.142857143,0.033333333
0.0005,0.0001,0.333333333,0.016666667
0.0005,0.05,0.333333333,0.016666667
0.0005,0.1,0.333333333,0.016666667
0.0005,0.15,0.333333333,0.016666667
0.0005,0.2,0.333333333,0.016666667
0.0005,0.25,0.333333333,0.016666667
0.0005,0.3,0.333333333,0.016666667
0.0005,0.35,0.333333333,0.016666667
0.0005,0.4,0.333333333,0.016666667
0.0005,0.45,0.333333333,0.016666667
0.0005,0.5,0.333333333,0.016666667
0.0005,0.55,0.333333333,0.016666667
0.0005,0.6,0.333333333,0.016666667
0.0005,0.65,0.333333333,0.016666667
0.0005,0.7,0.333333333,0.016666667
0.0005,0.75,0.333333333,0.016666667
0.0005,0.8,0.333333333,0.016666667
0.0005,0.85,0.333333333,0.016666667
0.0005,0.9,0.333333333,0.016666667
0.0005,0.95,0.333333333,0.016666667
0.0005,0.9999,0.333333333,0.016666667
0.0025,0.0001,0.333333333,0.016666667
0.0025,0.05,0.333333333,0.016666667
0.0025,0.1,0.333333333,0.016666667
0.0025,0.15,0.333333333,0.016666667
0.0025,0.2,0.333333333,0.016666667
0.0025,0.25,0.333333333,0.016666667
0.0025,0.3,0.333333333,0.016666667
0.0025,0.35,0.333333333,0.016666667
0.0025,0.4,0.333333333,0.016666667
0.0025,0.45,0.333333333,0.016666667
0.0025,0.5,0.333333333,0.016666667
0.0025,0.55,0.333333333,0.016666667
0.0025,0.6,0.333333333,0.016666667
0.0025,0.65,0.333333333,0.016666667
0.0025,0.7,0.333333333,0.016666667
0.0025,0.75,0.333333333,0.016666667
0.0025,0.8,0.333333333,0.016666667
0.0025,0.85,0.333333333,0.016666667
0.0025,0.9,0.333333333,0.016666667
0.0025,0.95,0.333333333,0.016666667
0.0025,0.9999,0.333333333,0.016666667
0.005,0.0001,0.333333333,0.016666667
0.005,0.05,0.333333333,0.016666667
0.005,0.1,0.333333333,0.016666667
0.005,0.15,0.333333333,0.016666667
0.005,0.2,0.333333333,0.016666667
0.005,0.25,0.333333333,0.016666667
0.005,0.3,0.333333333,0.016666667
0.005,0.35,0.333333333,0.016666667
0.005,0.4,0.333333333,0.016666667
0.005,0.45,0.333333333,0.016666667
0.005,0.5,0.333333333,0.016666667
0.005,0.55,0.333333333,0.016666667
0.005,0.6,0.333333333,0.016666667
0.005,0.65,0.333333333,0.016666667
0.005,0.7,0.333333333,0.016666667
0.005,0.75,0.333333333,0.016666667
0.005,0.8,0.333333333,0.016666667
0.005,0.85,0.333333333,0.016666667
0.005,0.9,0.333333333,0.016666667
0.005,0.95,0.333333333,0.016666667
0.005,0.9999,0.333333333,0.016666667
0.0075,0.0001,0.333333333,0.016666667
0.0075,0.05,0.333333333,0.016666667
0.0075,0.1,0.333333333,0.016666667
0.0075,0.15,0.333333333,0.016666667
0.0075,0.2,0.333333333,0.016666667
0.0075,0.25,0.333333333,0.016666667
0.0075,0.3,0.333333333,0.016666667
0.0075,0.35,0.333333333,0.016666667
0.0075,0.4,0.333333333,0.016666667
0.0075,0.45,0.333333333,0.016666667
0.0075,0.5,0.333333333,0.016666667
0.0075,0.55,0.333333333,0.016666667
0.0075,0.6,0.333333333,0.016666667
0.0075,0.65,0.333333333,0.016666667
0.0075,0.7,0.333333333,0.016666667
0.0075,0.75,0.333333333,0.016666667
0.0075,0.8,0.333333333,0.016666667
0.0075,0.85,0.333333333,0.016666667
0.0075,0.9,0.333333333,0.016666667
0.0075,0.95,0.333333333,0.016666667
0.0075,0.9999,0.333333333,0.016666667
0.0005,0.0001,0.2,0.016666667
0.0005,0.05,0.2,0.016666667
0.0005,0.1,0.2,0.016666667
0.0005,0.15,0.2,0.016666667
0.0005,0.2,0.2,0.016666667
0.0005,0.25,0.2,0.016666667
0.0005,0.3,0.2,0.016666667
0.0005,0.35,0.2,0.016666667
0.0005,0.4,0.2,0.016666667
0.0005,0.45,0.2,0.016666667
0.0005,0.5,0.2,0.016666667
0.0005,0.55,0.2,0.016666667
0.0005,0.6,0.2,0.016666667
0.0005,0.65,0.2,0.016666667
0.0005,0.7,0.2,0.016666667
0.0005,0.75,0.2,0.016666667
0.0005,0.8,0.2,0.016666667
0.0005,0.85,0.2,0.016666667
0.0005,0.9,0.2,0.016666667
0.0005,0.95,0.2,0.016666667
0.0005,0.9999,0.2,0.016666667
0.0025,0.0001,0.2,0.016666667
0.0025,0.05,0.2,0.016666667
0.0025,0.1,0.2,0.016666667
0.0025,0.15,0.2,0.016666667
0.0025,0.2,0.2,0.016666667
0.0025,0.25,0.2,0.016666667
0.0025,0.3,0.2,0.016666667
0.0025,0.35,0.2,0.016666667
0.0025,0.4,0.2,0.016666667
0.0025,0.45,0.2,0.016666667
0.0025,0.5,0.2,0.016666667
0.0025,0.55,0.2,0.016666667
0.0025,0.6,0.2,0.016666667
0.0025,0.65,0.2,0.016666667
0.0025,0.7,0.2,0.016666667
0.0025,0.75,0.2,0.016666667
0.0025,0.8,0.2,0.016666667
0.0025,0.85,0.2,0.016666667
0.0025,0.9,0.2,0.016666667
0.0025,0.95,0.2,0.016666667
